Item_Weight,Item_MRP,Item_Type,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Visibility_Class
8.195,91.3462,0,2,1,1,4
15.1,91.583,0,1,1,1,1
15.1,91.683,0,2,0,1,1
8.195,91.8462,0,2,1,1,4
6.78,92.212,0,1,1,1,2
12.5,92.4462,0,2,0,0,4
7.75,92.5436,0,2,0,1,4
8.355,92.5462,0,0,2,1,4
13.35,92.5804,0,2,0,1,4
6.445,92.6436,0,2,0,1,4
8.355,92.6462,0,1,1,1,4
12.5,92.812,0,2,0,0,0
8.355,93.0462,0,2,1,1,4
13.35,93.0804,0,2,1,1,4
7.75,93.1436,0,1,2,2,4
8.195,93.1462,0,1,2,2,4
12.5,93.2436,0,2,0,0,1
13.35,93.2804,0,1,2,0,1
6.78,93.312,0,2,1,1,2
12.5,93.3462,0,1,2,3,4
6.445,93.4436,0,2,1,1,4
8.195,93.4462,0,1,1,1,4
13.35,93.4804,0,1,2,2,4
8.355,93.5462,0,1,2,2,4
8.355,93.5462,0,1,0,1,4
8.195,93.6462,0,0,2,1,4
13.35,93.7804,0,1,1,1,4
8.195,93.8462,0,2,0,1,4
8.195,93.9462,0,1,2,0,4
6.78,94.012,0,0,2,1,4
8.355,94.0462,0,2,1,1,4
6.445,94.1436,0,1,1,1,4
8.355,94.1462,0,2,0,1,4
6.78,94.212,0,2,0,1,2
12.5,94.312,0,1,2,3,2
7.75,94.3436,0,1,1,1,4
8.195,94.3462,0,1,0,1,4
6.445,94.4436,0,0,2,1,4
12.5,94.4462,0,1,2,3,4
6.78,94.512,0,1,2,2,2
6.78,94.712,0,2,1,1,2
12.5,94.7436,0,1,2,3,4
6.78,95.012,0,1,0,1,4
6.445,95.0436,0,1,2,0,4
16.5,95.2068,0,1,0,1,1
7.75,95.3436,0,1,0,1,4
6.445,95.4436,0,1,2,2,4
7.75,95.6436,0,0,2,1,4
7.75,95.6436,0,2,1,1,4
16.5,95.7068,0,2,1,1,1
14.3,95.9726,0,1,1,1,4
16.5,96.2068,0,2,0,1,4
6.445,96.4436,0,2,1,1,4
6.445,96.5436,0,1,0,1,4
12.5,96.5436,0,1,2,3,4
14.3,96.5726,0,0,2,1,4
12.5,96.7384,0,2,0,0,1
20.7,97.2042,0,2,0,1,1
16.5,97.2068,0,1,1,1,1
6.15,97.2384,0,1,1,1,4
16.7,97.2384,0,2,1,1,4
12.5,97.2726,0,1,2,3,4
6.15,97.3384,0,1,0,1,4
12.5,97.6068,0,1,2,3,1
8.3,97.6384,0,1,2,0,4
16.7,97.6384,0,2,1,1,4
6.15,97.8384,0,2,1,1,4
8.3,98.0384,0,2,1,1,4
14.3,98.1726,0,1,2,2,4
14.3,98.1726,0,2,1,1,4
8.3,98.2384,0,1,0,1,4
16.5,98.3068,0,2,1,1,1
8.3,98.5384,0,1,2,2,4
12.5,98.5384,0,2,0,0,4
20.7,98.6042,0,1,2,2,1
14.3,98.6726,0,2,0,1,4
20.7,98.7042,0,1,1,1,4
8.3,98.7384,0,0,2,1,4
8.3,98.7384,0,2,0,1,4
16.7,98.7384,0,1,2,0,1
16.7,98.7384,0,0,2,1,4
14.3,98.7726,0,1,0,1,4
20.7,98.8042,0,0,2,1,1
12.5,98.8384,0,2,0,0,1
16.5,98.9068,0,0,2,1,1
16.5,98.9068,0,1,2,2,1
17.35,99.2016,0,1,0,1,4
20.7,99.3042,0,2,1,1,1
6.15,99.3384,0,2,0,1,4
9.8,99.4016,0,2,1,1,4
6.15,99.4384,0,0,2,1,4
14.3,99.4726,0,2,1,1,4
17.35,99.5016,0,1,2,2,4
16.7,99.6384,0,1,0,1,4
17.35,99.8016,0,2,1,1,4
20.7,99.8042,0,1,2,0,1
20.7,99.8042,0,1,0,1,1
12.5,99.8384,0,1,2,3,4
12.5,99.9042,0,1,2,3,1
6.15,99.9384,0,2,1,1,4
16.7,99.9384,0,2,0,1,4
16.7,100.0384,0,1,1,1,4
16.7,100.0384,0,1,2,2,4
9.8,100.1016,0,1,2,0,1
20.7,100.1042,0,2,1,1,1
12.5,100.1384,0,1,2,3,4
12.5,100.3016,0,1,2,3,4
9.8,100.5016,0,2,1,1,4
6.15,100.5384,0,1,2,2,4
8.3,100.5384,0,2,1,1,4
12.5,100.5384,0,1,2,3,4
9.8,100.6016,0,2,0,1,4
14.5,100.6332,0,1,2,2,1
12.5,101.0042,0,2,0,0,4
9.8,101.3016,0,1,2,2,4
12.5,101.3016,0,1,2,3,4
14.5,101.4332,0,2,1,1,1
14.0,101.5332,0,1,1,1,4
9.8,101.7016,0,1,1,1,4
12.5,101.8648,0,1,2,3,1
17.35,101.9016,0,0,2,1,4
17.35,102.0016,0,1,1,1,4
14.5,102.0332,0,1,0,1,1
11.15,102.0648,0,2,0,1,1
14.0,102.2332,0,1,0,1,4
17.35,102.3016,0,2,1,1,4
14.5,102.3332,0,0,2,1,1
9.8,102.4016,0,0,2,1,4
14.5,102.7332,0,1,2,0,0
11.15,102.7648,0,0,2,1,1
9.8,102.8016,0,1,0,1,4
17.35,102.9016,0,2,0,1,4
14.5,102.9332,0,1,1,1,1
14.0,103.1332,0,1,2,2,4
14.0,103.2332,0,2,0,1,4
11.15,103.2648,0,2,1,1,1
12.5,103.3332,0,1,2,3,4
14.0,103.8332,0,0,2,1,4
11.15,103.8622,0,1,2,2,4
14.0,104.0332,0,2,1,1,4
11.15,104.0622,0,1,1,1,4
14.5,104.1332,0,2,1,1,1
14.5,104.1332,0,2,0,1,1
14.0,104.3332,0,2,1,1,4
12.5,104.4332,0,2,0,0,4
11.15,104.4648,0,1,2,2,1
12.5,104.5332,0,1,2,3,1
11.15,104.5648,0,2,1,1,1
9.6,105.028,0,1,1,1,1
9.6,105.028,0,2,1,1,1
9.6,105.128,0,1,0,1,1
11.15,105.1648,0,1,1,1,1
9.6,105.228,0,1,2,2,1
9.6,105.728,0,1,2,0,2
15.5,105.7938,0,1,1,1,4
11.15,105.8648,0,1,0,1,1
20.5,106.0596,0,2,1,1,1
12.5,106.0596,0,2,0,0,0
15.5,106.0938,0,1,2,2,4
12.5,106.2622,0,1,2,3,4
15.5,106.2938,0,2,0,1,4
11.15,106.4622,0,2,0,1,4
9.6,106.528,0,0,2,1,1
15.5,106.7938,0,0,2,1,4
11.15,106.8622,0,1,0,1,4
9.6,107.028,0,2,0,1,1
15.5,107.0938,0,2,1,1,4
9.6,107.128,0,2,1,1,1
12.5,107.128,0,2,0,0,2
12.5,107.128,0,1,2,3,1
11.15,107.1622,0,2,1,1,4
15.5,107.2938,0,1,0,1,4
11.15,107.4622,0,2,1,1,4
12.5,107.4622,0,2,0,0,1
12.5,107.6938,0,2,0,0,4
11.15,107.7622,0,0,2,1,4
20.5,107.8596,0,2,0,1,1
8.38,107.957,0,2,0,1,4
20.5,107.9596,0,2,1,1,1
15.5,108.0938,0,2,1,1,4
8.38,108.157,0,2,1,1,4
12.5,108.1938,0,1,2,3,4
15.5,108.2938,0,1,2,0,4
12.5,108.5596,0,1,2,3,1
20.5,108.8596,0,0,2,1,1
12.5,108.957,0,1,2,3,4
20.5,108.9596,0,1,0,1,1
20.5,109.4596,0,1,2,2,1
15.6,109.8544,0,1,0,1,1
8.38,109.857,0,2,1,1,4
15.6,110.0544,0,2,1,1,1
8.38,110.157,0,1,1,1,4
15.6,110.2544,0,2,1,1,1
17.75,110.5544,0,1,2,0,1
8.38,110.557,0,0,2,1,4
17.75,111.1544,0,1,1,1,1
8.38,111.357,0,1,2,2,4
17.75,111.4544,0,2,1,1,1
15.6,111.5544,0,1,2,0,2
12.5,111.6544,0,1,2,3,1
15.6,111.8544,0,1,2,2,4
8.38,111.857,0,1,0,1,4
17.75,112.0544,0,2,1,1,4
15.6,112.3544,0,0,2,1,1
15.6,112.3544,0,2,0,1,1
17.75,112.4544,0,2,0,1,1
17.75,112.4544,0,1,0,1,1
15.6,112.7544,0,1,1,1,1
17.75,113.1544,0,1,2,2,1
12.5,113.1544,0,1,2,3,1
17.75,113.3544,0,0,2,1,1
10.395,113.5176,0,2,0,1,4
12.5,113.5544,0,2,0,0,1
10.395,114.0176,0,1,2,0,4
10.395,114.2176,0,1,1,1,4
10.395,114.5176,0,2,1,1,4
10.395,114.7176,0,2,1,1,4
10.395,114.9176,0,1,0,1,4
10.395,115.1176,0,0,2,1,4
12.5,116.1176,0,1,2,3,4
10.395,116.3176,0,1,2,2,4
13.3,117.2124,0,2,1,1,4
12.5,117.6124,0,1,2,3,4
13.3,117.7124,0,2,1,1,4
13.3,117.8124,0,2,0,1,4
12.5,118.5098,0,1,2,3,1
6.195,118.8098,0,2,1,1,1
6.635,118.9098,0,0,2,1,4
6.635,119.1098,0,2,1,1,4
13.3,119.1124,0,0,2,1,4
20.6,119.4756,0,2,0,1,1
20.6,119.5756,0,1,2,0,2
20.6,119.5756,0,0,2,1,1
6.195,119.6098,0,2,0,1,1
13.3,119.8124,0,1,1,1,4
13.3,119.8124,0,1,0,1,4
13.3,119.9124,0,1,2,0,4
20.6,120.0756,0,2,1,1,1
20.6,120.1756,0,1,2,2,1
20.6,120.1756,0,1,0,1,1
6.635,120.3098,0,1,2,2,4
6.195,120.4098,0,2,1,1,1
6.195,120.4098,0,1,0,1,1
13.3,120.4124,0,1,2,2,4
14.85,120.5072,0,2,1,1,4
6.195,120.6098,0,1,2,2,1
14.85,120.8072,0,2,0,1,4
20.6,120.8756,0,1,1,1,1
12.5,120.9756,0,1,2,3,1
14.85,121.0072,0,0,2,1,4
20.6,121.0756,0,2,1,1,1
6.635,121.1098,0,1,1,1,4
12.5,121.2098,0,2,0,0,2
6.635,121.3098,0,2,1,1,4
12.5,121.3098,0,2,0,0,4
6.635,121.8098,0,1,0,1,4
6.195,121.9098,0,0,2,1,1
12.0,121.9388,0,2,0,1,1
6.635,122.1098,0,2,0,1,4
12.5,122.2072,0,1,2,3,4
6.195,122.3098,0,1,1,1,1
12.0,122.3388,0,0,2,1,1
12.5,122.4098,0,1,2,3,4
14.85,123.0072,0,1,0,1,4
14.85,123.2072,0,1,2,2,4
12.0,123.6388,0,1,2,0,1
12.5,123.8388,0,2,0,0,1
12.0,123.9388,0,2,1,1,1
14.85,124.1072,0,1,1,1,4
14.85,124.1072,0,2,1,1,4
12.0,124.1388,0,1,1,1,1
12.0,124.5388,0,1,2,2,1
12.5,124.602,0,2,0,0,4
9.1,124.6362,0,2,1,1,2
12.0,124.6388,0,2,1,1,1
12.5,124.8388,0,1,2,3,1
18.7,124.902,0,1,1,1,4
12.5,125.4362,0,2,0,0,3
18.7,125.702,0,1,0,1,4
9.1,125.7362,0,1,0,1,2
9.1,125.8362,0,2,1,1,2
12.0,125.8388,0,1,0,1,1
18.7,125.902,0,1,2,0,4
18.7,126.102,0,1,2,2,4
18.7,126.202,0,2,1,1,4
18.7,126.502,0,2,0,1,4
9.1,126.5362,0,0,2,1,2
9.1,126.8362,0,1,2,0,3
18.7,127.102,0,2,1,1,4
12.5,127.102,0,1,2,3,4
9.1,127.2362,0,1,2,2,2
9.1,127.4362,0,2,0,1,2
9.1,127.5362,0,1,1,1,2
12.5,127.6362,0,1,2,3,2
18.7,128.102,0,0,2,1,4
5.465,129.1626,0,2,0,1,4
5.465,129.2626,0,2,1,1,4
5.465,129.2626,0,1,0,1,4
18.85,130.6284,0,1,0,1,4
12.5,130.7284,0,1,2,3,4
5.465,131.2626,0,0,2,1,4
12.5,131.3284,0,2,0,0,1
18.85,131.4284,0,1,2,0,1
18.85,131.4284,0,0,2,1,4
18.85,131.5284,0,2,1,1,4
18.85,131.7284,0,1,2,2,4
18.85,132.1284,0,2,1,1,4
5.465,132.1626,0,1,1,1,4
5.465,132.5626,0,1,2,2,4
18.85,132.7284,0,2,0,1,4
5.465,132.9626,0,2,1,1,4
12.5,133.1626,0,1,2,3,4
18.85,133.3284,0,1,1,1,4
14.85,140.4812,0,1,0,1,1
14.85,140.9812,0,1,1,1,1
14.85,141.0812,0,2,1,1,1
9.17,141.247,0,2,1,1,1
14.85,141.3812,0,0,2,1,1
14.85,141.5812,0,2,1,1,1
9.17,141.747,0,1,0,1,1
10.5,141.9128,0,1,2,2,4
10.5,141.9128,0,2,1,1,4
9.17,141.947,0,0,2,1,1
14.85,141.9812,0,2,0,1,1
14.85,142.0812,0,1,2,0,2
9.17,142.147,0,2,1,1,1
14.85,142.3812,0,1,2,2,1
12.5,142.747,0,1,2,3,1
12.5,143.0812,0,1,2,3,1
10.5,143.3128,0,2,0,1,4
8.315,143.3444,0,0,2,1,4
10.5,143.5128,0,1,0,1,4
12.5,143.5444,0,2,0,0,4
8.315,143.6444,0,1,2,0,4
12.5,143.8128,0,1,2,3,4
10.5,143.9128,0,1,2,0,4
9.17,143.947,0,1,2,2,1
9.17,144.147,0,1,1,1,1
12.5,144.2812,0,2,0,0,2
8.315,144.3444,0,1,1,1,4
8.315,144.4444,0,2,0,1,4
12.5,144.5444,0,1,2,3,4
10.5,144.8128,0,1,1,1,4
8.315,144.8444,0,2,1,1,4
9.17,144.847,0,1,2,0,2
12.5,144.847,0,2,0,0,4
9.17,144.947,0,2,0,1,1
10.5,145.2128,0,2,1,1,4
10.5,145.3128,0,0,2,1,4
8.235,146.5076,0,1,2,2,1
8.315,146.6444,0,1,0,1,4
8.235,146.7076,0,1,0,1,1
8.315,146.9444,0,1,2,2,4
8.315,147.1444,0,2,1,1,4
8.235,147.6076,0,0,2,1,1
5.635,148.205,0,1,2,0,2
8.235,148.5076,0,2,1,1,1
12.5,148.6076,0,1,2,3,1
5.635,148.705,0,1,0,1,4
12.5,148.705,0,1,2,3,1
8.235,149.1076,0,2,1,1,1
8.235,149.3076,0,1,1,1,1
8.235,149.3076,0,2,0,1,1
15.15,149.3708,0,1,0,1,4
5.635,149.405,0,2,1,1,4
12.5,149.4708,0,1,2,3,4
15.15,149.6708,0,1,2,0,4
12.5,149.7708,0,2,0,0,4
11.65,149.8024,0,1,2,2,4
5.635,149.905,0,1,2,2,1
5.635,150.005,0,2,1,1,1
6.135,150.1366,0,1,2,2,1
15.15,150.1708,0,2,0,1,4
15.15,150.4708,0,0,2,1,4
15.15,150.4708,0,2,1,1,4
11.65,150.5024,0,1,1,1,1
6.135,150.7366,0,1,2,0,1
12.5,150.8024,0,1,2,3,1
15.15,150.9708,0,1,2,2,4
11.65,151.1024,0,2,1,1,1
15.15,151.1708,0,1,1,1,4
5.635,151.205,0,2,0,1,1
5.635,151.305,0,1,1,1,1
6.135,151.3366,0,2,1,1,4
6.135,151.6366,0,1,0,1,1
6.135,151.7366,0,2,1,1,1
5.635,151.805,0,0,2,1,1
11.65,151.9024,0,0,2,1,1
12.5,152.1024,0,2,0,0,0
11.65,152.3024,0,1,0,1,1
15.15,152.3708,0,2,1,1,4
11.65,152.5024,0,2,0,1,1
11.65,152.6024,0,2,1,1,4
12.5,152.7366,0,1,2,3,1
17.75,152.7656,0,2,1,1,4
6.135,152.8366,0,0,2,1,1
6.135,152.8366,0,1,1,1,1
6.135,152.8366,0,2,0,1,1
11.65,153.0024,0,1,2,0,0
17.75,153.0656,0,2,1,1,4
17.75,153.3656,0,1,0,1,4
17.75,154.0656,0,1,1,1,4
12.5,154.1656,0,2,0,0,4
17.75,154.2656,0,1,2,2,4
17.75,154.3656,0,0,2,1,4
17.75,154.6656,0,1,2,0,4
17.75,154.6656,0,2,0,1,4
12.5,154.8656,0,1,2,3,4
11.1,156.4604,0,1,0,1,4
20.7,156.5288,0,2,1,1,4
20.7,156.6288,0,1,0,1,4
11.1,156.7604,0,0,2,1,2
20.7,156.9288,0,2,1,1,4
20.7,157.0288,0,1,1,1,4
20.7,157.0288,0,2,0,1,4
15.1,157.1604,0,1,0,1,1
